scheme_name,CAGR_1yr,CAGR_3yr,CAGR_5yr,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Worst_DD_Date,expense_ratio_pct,Composite_Score
SBI Bluechip Fund - Direct Plan - Growth,0.12747554639452074,0.05163223794670091,0.1563789728823306,0.6482414723266908,0.9562581615720372,0.18987484831510912,0.020106163140798588,-0.11803493502764295,2024-09-02,0.66,60.25
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.1835553148835174,0.10109386275223997,0.11160113145194894,0.6406730942266643,0.9567871793429346,0.22547072837777118,0.0013639116991243298,-0.1527259422823477,2024-01-24,1.52,56.9375
Nippon India ETF Nifty 50 BeES,0.12285729798755618,0.13172562069891391,0.1488404346339134,0.39318819691240564,0.58117448074687,0.11271542585142613,0.011327308796493369,-0.1165062450540909,2022-06-09,0.89,55.875
ICICI Pru Bluechip Fund - Regular - Growth,0.05670259378211373,0.09854016337787797,0.08831423081189249,0.5165503915082101,0.7578453024522593,0.1839727070412178,0.011096152845023615,-0.13897862823061635,2023-11-09,1.42,55.625
ICICI Pru Value Discovery Fund - Regular - Growth,0.24867643676120288,0.1423100984087342,0.12961424835054647,0.40461547832920497,0.5916414911641021,0.16141808986791975,0.007397809885328404,-0.1982565826298267,2023-08-14,1.41,55.5
UTI Nifty 50 Index Fund - Regular - Growth,0.1397926542801473,0.13106842740248603,0.13163421988259638,0.519797145036178,0.7767981180916187,0.16066479006857526,0.008217379412853434,-0.1085986215250232,2022-03-29,1.57,52.5
UTI Flexi Cap Fund - Regular - Growth,-0.08326674925269795,0.17218950045568304,0.16360982202633845,0.3846373345033844,0.5769204679491358,0.12825771896125537,0.024830645105560028,-0.21539827112383225,2022-07-04,1.64,47.9375
DSP Top 100 Equity Fund - Regular - Growth,0.08561950349466274,0.13591757240129332,0.10919053004342238,0.23966336777285185,0.3438264105877994,0.12181361773358712,0.023567148078164193,-0.14844576917771746,2022-02-04,1.54,47.9375
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.3982593939501913,0.11287915126370995,0.10747197391389718,0.1347978410610397,0.19335739611007677,0.11735554577591875,0.0057084187117120745,-0.21117279560132118,2025-09-12,0.78,47.5
Axis Bluechip Fund - Direct - Growth,0.1139813282280886,0.08934349507083406,0.10708466587218002,-0.04707325681075887,-0.06786887394458038,0.08747503131238947,0.016649483362592046,-0.21751396370148224,2023-05-22,0.75,42.0
Nippon India Gilt Securities Fund - Regular - Growth,0.08232705338338975,0.055363697415269586,0.021938143106533525,-0.8505789759662293,-1.268536179600875,0.06267188633044554,-0.009715291976966797,-0.08316361763638702,2024-02-09,0.55,41.125
Nippon India Small Cap Fund - Regular - Growth,0.3027856379299503,0.05810467306022904,0.0794119764449579,0.2923432510109931,0.41894705414580696,0.17539916166232253,-0.022788061942728453,-0.2334488614483311,2026-02-20,1.53,40.1875
ICICI Pru Liquid Fund - Regular - Growth,0.05124365754131732,0.04956840603900603,0.049363372221083335,-3.6501838785684804,-7.663441383946575,0.06751107174722926,-0.0015126406893188544,-0.0009773140045925555,2025-10-20,0.74,38.875
Kotak Liquid Fund - Regular - Growth,0.052657100245451005,0.04515064482049791,0.04620688351737523,-4.000348969233409,-8.201285361776629,0.06424138053133448,0.0010012054436681205,-0.0011629327956168556,2024-04-30,0.6,37.75
HDFC Short Term Debt Fund - Regular - Growth,0.02691255994614905,0.04110461286570177,0.02922786179836301,-1.0399413574427756,-1.5276086031208125,0.048140512500343284,-0.008452636499556557,-0.04308263824636349,2023-07-28,0.56,35.375
Kotak Bluechip Fund - Regular - Growth,0.2985358151996942,0.06332981690316175,0.12390909882532863,0.2551174125622313,0.37556592696344127,0.06657717900539276,0.038384410594715486,-0.1757361416468729,2025-02-14,1.59,33.875
SBI Magnum Gilt Fund - Regular Plan - Growth,0.021872572751472363,0.029452095372302534,0.04552693019239351,-0.7430986305648412,-1.0982754085807245,0.05927579900189231,0.007003320437138432,-0.04328728923970093,2025-04-01,0.77,33.5
ABSL Liquid Fund - Regular - Growth,0.05132872812178446,0.04341410877385754,0.043190952255171666,-4.650400707150914,-9.181206799250889,0.0608604735297941,-0.00044880491576632195,-0.0016224980244717857,2023-09-12,0.79,32.125
Kotak Emerging Equity Fund - Regular - Growth,0.1253759959040448,0.09841396578857076,0.05587260153271467,-0.05816681141492242,-0.08170686710774051,0.026551638919528754,-0.06450597057977223,-0.24003511326274884,2024-10-17,1.56,26.25
SBI Small Cap Fund - Direct Plan - Growth,0.22954094840900252,-0.0345659533931818,-0.06413797424850731,-0.13617811182970382,-0.19205223199875535,0.03104317276096428,0.04507870076765986,-0.5257422117012851,2025-10-28,0.72,24.3125
ABSL Small Cap Fund - Regular - Growth,-0.09195870184657506,-0.05573632895491687,0.013231027096094694,0.052618136475854844,0.07612342213110178,0.09084991469637617,0.07192005438106905,-0.3544691649336603,2026-05-11,1.53,23.1875
Axis Small Cap Fund - Regular - Growth,-0.22106103077905137,-0.09741731006848708,-0.0553531019339597,-0.15165815861644164,-0.21717962604109664,0.08285414014898179,0.04954850441094775,-0.5167775370852656,2026-05-11,1.38,22.375
Axis Bluechip Fund - Regular - Growth,0.047121680545571865,0.0005165442734509362,0.01857401366900424,-0.13100916883965186,-0.18990920919880364,0.03444856078454065,-0.022620577973645445,-0.1440161790933726,2025-02-07,1.64,20.4375
HDFC Top 100 Fund - Regular Plan - Growth,-0.04337448852424031,-0.017959562001467755,0.03720360220671859,-0.3210192604995429,-0.4711362209088799,0.0408430001813768,0.036343489089746626,-0.24734440880673303,2022-09-15,1.55,15.75
UTI Mid Cap Fund - Regular - Growth,-0.2008813191275144,-0.03660262205002596,0.015128721254252575,-0.29488891285108904,-0.4167758049116449,0.004210905621985717,0.023671514362242106,-0.2800112356639287,2026-04-27,1.51,15.4375
